clean_text,category,sentiment
Semoga jessika bisa dibebaskan kalau tidak bersalah.. mau udah mk.. kalau terbukti gak bersalah harus dibebaskan..,1,positive
Jadi siapa pembunuhnya kalo bukan jessica?,0,neutral
Gue lbh penasaran sama cerita aslinya di balik layar sih. Yg ga ketauan banyak kamera. Tp siapa yg bisa ngungkap itu semua? ga bkl ada kynya,0,neutral
"bahkan sidang dia rasanya lebih lama dari sidang jendral yg membunuh anak buahnya, bener2 disiarin dari pagi sampe malem di tv",0,neutral
"I wonder how social media influenced the investigation of the 2016 cyanide coffee case, and if the real killer has been caught.",0,neutral
Dari dulu sampai skrg sih gua sih gk percaya si jesika pembunuh .. Apakah ada yg setuju seperti pikiranku ?,1,positive
"Parah, kasus kopi sianida 2016 sampe sekarang masih bikin kepala gatel!",0,neutral
"Btw, jessica ini ngakuin gak sih kalau dia pelaku nya? Trs ada yg bilang bisa jadi suami nya pelaku nya, tp keuntungan nya apa buat si suami. Dan konspirasi2 yg lain gua ga kepikiran sih, dulu gue mah percaya2 aja ama berita . Polos wkwkwk",-1,negative
"Pasti royalty nya buat Jessica wongso & family nya cukup gede sih, smpe mau setuju dibikinin dokumenter ama netflix.",-1,negative
"Kok Masi ada aja yg tolol ya ga tau pembunuhnya. 1. Pesan kopi orgnya blm datang 2. Paper bag di susun menghalangi cctv. 3. Temannya sekarat ga nangis, panik , raut mukanya ketahuan bos. 4. Di wawancara di tv ga ada sedikitpun dia simpati /merasa kehilangan dgn temannya,",-1,negative
"Yg gw takut di indonesia itu hukum terlalu liar. Ketidak kompetenan para penegak hukum kadang membuat hukum berjalan sesuai sentimen masyarakat atau pihak2 tertentu, bukan berjalan sesuai kebenaran yg sebenar-benarnya",0,neutral
"Kalo cm asumsi semua org juga bisa. Yang dibutuhkan pembuktian. Situ ikutin sidang nya? Barbuk berubah2 udah tahu? mL kopi nya berubah2. Dan gk ditemukan senyawa pembunuh nya di mayat korban. Gk belain siapa2, tp klo persidangan cm berbasis asumsi, apa gunanya persidangan?",-1,negative
"Kalo gw masih yakin bukan Jessica pelakunya, apalagi yg pegang kasusnya ini si Sambo yg sekarang pesakitan. Barbuk juga berganti ganti gakjelas, banyak ahli juga di bidangnya yg percaya bukan Jessica pelakunya",1,positive
"Gw sih masih belum percaya kalo Jessica pembunuhnya. Ga ada bukti. Dia korban judge netijen dan ""pakar"" mikroekspresi ga jelas",1,positive
"kasus gila, kedua pihak ga bisa setor bukti kuat, yg satu ga bsa menunjukkan klo ga bersalah yg satu ga bisa menunjukkan bukti klo pelaku melakukan, pling d inget hakim debatin kopi susu vietnam, es dlu ato kopi dlu yg d taruh",0,neutral
Nih ya buat yg masih ragu Jessica salah atau ga. 1. Saat kejadian dia ga panik lihat temannya semaput selesai minum kopi. 2. Tangannya ada gatal2 (indikasi reaksi racun sianida kena kulit) 3. Dia langsung buang/bakar pakaiannya (kenapa? Takut terdeteksi residu racun?),-1,negative
"Apa sianida secepat itu reaksinya?Layaknya air keras yg mengenai kulit, seketika kulit melepuh. Klo Jesika Wongso minta banding sekarang, apa masih bisa ya? Apalagi yg menangani kasusnya dulu adalah si Sambo cs",1,positive
"Ini dulu katanya rame pas Mirna meninggal asuransinya cair, katanya sampe miliaran trs bapak kandungnya gak lama nikah lg, nah sampe sekarang tuh jd misteri",1,positive
Gw habis nonton ini berasa abal2 banget ya sistem pengadilan kita. Gw gak bilang jessica gk mungkin pembunuh nya. Tpi ayolah itu proses dari mulai autopsi sampai proses pembuktian di pengadilan gk benar semua. Jaksa nya lagi . Abal2 semua. Maksa,1,positive
Dah liat. Ni film memontang mantingkan opini wkwkkw apa aku aja yg gampang terpengaruh :(,0,neutral
ngga ada bukti memasukkan sianida … harusnya ngga boleh dihukum. lebih baik melepaskan yg diduga bersalah drpd memenjarakan orang yg tidak kuat buktinya kalo melanggar hukum,1,positive
"Antara asumsi, pembalasan , kepentingan dan nama baik bahkan guna pencapaian jabatan semua turut bermain.",1,positive
"Ngak tau kenapa, Sampek sekarang gw masih percaya aja, kalau Jessica bukan pelaku utamanya",1,positive
"Seandainya mirna dan jessica orang biasa, pasti kasusnya gk serame ini. Banyak kok pembunuhan dgn menggunakan racun. Ketika di otopsi ada racun didalam tubuh korban. Yang akan jd tersangka ya siapa saja yg dekat dengan korban pada saat kematiannya.",0,neutral
ini yg masih jadi pertanyaan di gue sampai sekarang 1. mayat gk di outopsi cuma cek darah aja 2. knp terkesan buru buru di kremasi 3. mana bukti langsungnya semua bukti di hadirkan bukti tidak langsung 4. kenapa di darah gk ada sianida,1,positive
ntflix jan ikutan bingung dh. aneh ini di filmin. jelas2 ini jessica psikopat. tmn blom dtng malah pesanin org. tmn masih blok dtng mjnumannya udh minta antar meja. paper bag dn tanaman nutupin cctv. trus garuk2. apalagi yg membuat anda ragu?,-1,negative
Sebenarnya otak pembunuhan tu suami mirna dia make jessica sbg tameng eksekutor,-1,negative
"Kayaknya perlu dibuka lagi ga sh kasusnya, secara bukti kagak jelas tp masa bs dipenjara. Lama banget lg. Kasian kalo trnyata dia ga bersalah, udah brp taun dia abisin sia2 dipenjara",1,positive
"Overall kl ada yang blg Jess itu gasalah, menurut gue sedikit denial dgn bukti2 yanh ada. Dan gue sih kl jd Jess gasalah tp dihukum kaya gini dan kel gue duit banyak, gue proses sampe mana jg, gue nulis lah, gue diwawancara mau lah, pkknya gue mah berjuangan ajg gila kaliii",-1,negative
Diotopsi cuma dibagian lambung dn benar lambung mengalami kerusakan akibat zat korosif yaitu cn walopun jumlahnya g banyak tp kn dikopi yg diminum mirna udah jelas ada cn nya,0,neutral
"Ini ktnya killer nya jessica tapi ktnya ada hubungan ama mafia. Benang merahnya kemana mana , jd pembunuhnya siapa hadehh",0,neutral
Yang cuman nonton dari Netflix tanpa ikutin sidangnya akan banyak beropini... tapi yang ikutin sidangnya sudah jelas siapa yang pembunuhnya,-1,negative
Pasti org dalam nya si M sih tp si J di kambing hitam kan.demi duit org rela melakukan apa pun walaupun menghilangkan nyawa keluarga nya sendiri.sad bgt,1,positive
Tapi tadi liat pak otto bilang kalo jess gamau ngajuin grasi krn emang dia gamau mengiyakan tuduhan sbg pembunuh mirna,0,positive
Kemungkinan orang yang tidak bersalah di kurung demi duit,1,positive
Tidak diotopsi karena pihak keluarga tidak menginginkan mayat anaknya menjadi awful?!...ini jadi pelajaran berharga!!!,-1,negative
kasian ybs uda dipaksa suruh ngaku aja sama atasannya sambimbo dan dijanjiin dibantuin keluar cepet 7th malah ditipu biar nama dia bak hero wkwkwkw,1,positive
"ini kasus nya menarik banget. ga ada bukti kuat secara langsung, tp bisa d hukum. bisa jd referensi jika ada kasus yg mirip",0,neutral
Hakim disini lbh takut dihakimi publik klo kasus itu sampe ngga jatuh vonis bersalah... daripada bebasin terdakwa krn tidak ada bukti yg meyakinkan dipersidangan bhw dia yg taro itu sianida di kopi. Peracik kopi (barista) dan waiter yg antar kopi ke meja tidak didalami alibinya,1,positive
"Habis nonton ice cold di netflix ya tentang kasus kopi sianida jessica mirna bertahun-tahun yang lalu. Ada hal yang menggelitik juga dari pengacara jessica yang bertanya ""bagaimana bisa seseorang yang baru tamat dan mendapatkan pekerjaan bisa membunuh?""",1,positive
Kan emang ga pernah ada bukti juga si jessica naruh sianida ke gelas kopi. Biarkan hukum karma bekerja aja lah. Udah keliatan kok pelan-pelan,1,positive
WOW FIX KAH JESSICA YANG TUANG SIANIDA KE KOPI??? Ayahnya Mirna punya cctv zoom yang keliatan Jessica nuang dan baru ditunjukkin perdana di tvone,-1,negative
"Benar kata kejaksaan kasusnya kan sdh selesai, kalau dari pihak terdakwa merasa punya novum baru bisa kan ajukan PK yg ke 3 kalinya, jangan bikin narasi di medsos karena maklum saja gegara ini banyak muncul ahli hukum online",-1,negative
"Barang bukti tidak kuat kok bisa""nya memutuskan sepihak, apa harus ada pelaku walau haruse memaksakan?",1,positive
"Hey bagi para korban penggiringan opini, coba tonton ulang persidangan yg berjam"" itu, kalian pasti bosen, jangan riweh berdasarkan dokumentar singkat, dan potongan-potongan video",-1,negative
Setuju dgn Kejagung. Jessica Wongso pelakunya. Jangan mencari uang dgn mengabaikan keadilan dgn membela Jessica mati2an karena uang wahai bapak2 yg cerdas.,-1,negative
"Masak gara2 Netflix yg buat dokumenter setengah2 Indonesia percaya kasus ini direkayasa?? Indonesia memang cocok IQnya paling rendah se-ASEAN kalau saya masih percaya Jessica pembunuhnya, coba tonton Podcast Deddy Corbuzier dan Densu ingat sambil pakai logika",-1,negative
STATUS PELAKU TANPA AUTOPSI ITU ATURAN DARI HONGKONG NO AUTOPSI NO CRIME BOOSSS JANGAN BUAT LAWAKAN MENETAPKAN TERSANGKA TANPA AUTOPS,1,positive
Gue lebih butuh penjelasan cara kerja sianida yg mrk klaim mulai dari awal jessica masukin sianida ke dlm kopi sampai kopi dibawa devi lg ke blkg buat dicicip sm staff lain. Selain itu sianida dosis besar masa ngga kasih efek apa2 buat org2 di cafe itu,1,positive
"pro dan kontra dari kasus lama jessica mirna kopi sianida sepertinya kasusnya dinaikkan lg, dikaitkan bahwa jessica bknlah pembunuh mirna, jessica tdk meracuni dgn kopi sianida dan kita jg tahu kematian mirna penuh kejanggalan bahkan tdk adanya autopsi menarik buat dipelajari",0,neutral
"lu yg kagak ngikutin anjir. org di cctv gak jelas, gak terlihat juga jessica nuang sianida ke kopi. makannya masih misteri siapa pelaku sebenernya ini",1,positive
"Gara gara ice cold gue jd rewatch lagi semua sidang jessica kopi sianida wkwkw 2016 masih maba hukum masih abu2 banget dulu liat ni kasus bagi gue. Tp gue inget kata dosen w bilang, kasus ini ngaco krn ga ada otopsi tp ada tersangka. Then now",1,positive
"Barangkali Mirna punya rahasia besar penguasa, dan Jessica sebagai kawannya dijadikan eksekutor oleh pihak tersebut dengan beban ancaman yang mungkin saja memberatkannya. -dilihat dari pertanyaan hakim kepada Jessica ""siapa yang menuangkan sianida kedalam kopi Mirna"" dan Jessica",-1,negative
"Jessica kopi sianida yg beraksi sendiri aja ga mau ngaku kok sampe dia di penjara. Apalagi ini yg kasusnya melibatkan banyak org ditambah ada ""back up"" dari ajudan art nya.",0,neutral
"Statement manager pas dokumenter: saat Mirna kejang2, saya udah curiga Jessica yang ngebunuh dan masukin sesuatu ke dalam kopi? Like, darimana Anda yakin Jessica berniat membunuh dan menuangkan sianida ke dalam kopi?",1,positive
Di kasus Jessica memang diputuskan berdasarkan keyakinan hakim. Tidak cukup bukti kuat yg menunjukkan Jessica menaruh sianida di kopi Mirna,1,positive
Faktanya ada kopi yang tercampur sianida.Orang² yg punya akses langsung k kopi sianida tersebut; Jessica & Barista.Jessica ga pernah meninggal kopi sianida tersebut tanpa pengawasan.Barista nya juga tidak meninggalkan kopi sianida tanpa pengawasan.Walaupun bukti tdk langsung ckp,-1,negative
"Apapun itu, kalo 1. Ga bs membuktikan mati krn sianida (ga ada otopsi) 2. Ga bs membuktikan jessica nuangin sianida ke gelas kopi Harusnya no case. That's it. Semua yg lain2 jd ga relevan.",1,positive
kes pasal mati sebab kopi sianida yang kat indonesia ni mmg x settle lagi lah? sumpah aku tak rasa jessica wongso tu yang letak racun tu macam bapak mirna je beria buat tuduhan yang jessica yang racun anak tiri die haishh geram aku,1,positive
